"Id","Annee_mode","Nom_mode","Label"
964963,1983,"*FEDDEPINSCORP","*FEDDEPINSCORP,1983"
3053852,1979,"ABEL-A","ABEL-A,1979"
3073083,1978,"ABDELKHALIK-A","ABDELKHALIK-A,1978"
3084793,1978,"ABERNATHY-W","ABERNATHY-W,1978"
3108971,1981,"ABOWD-J","ABOWD-J,1981"
3181735,1955,"ADELMAN-M","ADELMAN-M,1955"
3200637,1983,"ADMATI-A","ADMATI-A,1983"
3231469,1967,"AGUILAR-F","AGUILAR-F,1967"
3239695,1966,"AHARONI-Y","AHARONI-Y,1966"
3255456,1980,"AHARONY-J","AHARONY-J,1980"
3284327,1984,"AJINKYA-B","AJINKYA-B,1984"
3337829,1969,"ALCHIAN-A","ALCHIAN-A,1969"
3339774,1977,"ALBRECHT-W","ALBRECHT-W,1977"
3346909,1979,"ALDRICH-H","ALDRICH-H,1979"
3404046,1978,"ALIBER-R","ALIBER-R,1978"
3406378,1979,"ALLAIS-M","ALLAIS-M,1979"
3416462,1929,"ALLEN-G","ALLEN-G,1929"
3420352,1985,"ALLEN-F","ALLEN-F,1985"
3442931,1971,"ALLISON-G","ALLISON-G,1971"
3478967,1981,"ALTMAN-E","ALTMAN-E,1981"
3483039,1977,"ALTMAN-E","ALTMAN-E,1977"
3494445,1985,"ALTUG-S","ALTUG-S,1985"
3506696,1968,"ALTMAN-E","ALTMAN-E,1968"
3516438,1974,"ALTMAN-E","ALTMAN-E,1974"
3539914,1985,"AMEMIYA-T","AMEMIYA-T,1985"
3548253,1980,"AMIHUD-Y","AMIHUD-Y,1980"
3555744,1958,"ANDERSON-T","ANDERSON-T,1958"
3563669,1979,"ANDERSON-B","ANDERSON-B,1979"
3579538,1971,"ANDERSON-T","ANDERSON-T,1971"
3587998,1971,"ANDREWS-K","ANDREWS-K,1971"
3594009,1985,"AMIHUD-Y","AMIHUD-Y,1985"
3698862,1965,"ANSOFF-H","ANSOFF-H,1965"
3699519,1980,"ANSLEY-C","ANSLEY-C,1980"
3699844,1965,"ANTHONY-R","ANTHONY-R,1965"
3717887,1984,"AOKI-M","AOKI-M,1984"
3736908,1977,"ARANOW-E","ARANOW-E,1977"
3765277,1973,"ARANOW-E","ARANOW-E,1973"
3782363,1978,"ARGYRIS-C","ARGYRIS-C,1978"
3788494,1985,"ARMSTRONG-J","ARMSTRONG-J,1985"
3812718,1974,"ARROW-K","ARROW-K,1974"
3829220,1963,"ARROW-K","ARROW-K,1963"
3829226,1959,"ARROW-K","ARROW-K,1959"
3829231,1971,"ARROW-K","ARROW-K,1971"
3829352,1974,"ARNOLD-L","ARNOLD-L,1974"
3832017,1971,"ARROW-K","ARROW-K,1971"
3837171,1969,"ARNOULD-R","ARNOULD-R,1969"
3840603,1965,"ARROW-K","ARROW-K,1965"
3843749,1962,"ARROW-K","ARROW-K,1962"
3843813,1968,"ARROW-K","ARROW-K,1968"
3949807,1980,"ATIASE-R","ATIASE-R,1980"
3952627,1985,"ATIASE-R","ATIASE-R,1985"
3998319,1984,"AXELROD-R","AXELROD-R,1984"
4033967,1981,"AZARIADIS-C","AZARIADIS-C,1981"
4048368,1975,"BACON-J","BACON-J,1975"
4051501,1964,"BACHELIER-L","BACHELIER-L,1964"
4118422,1956,"BAIN-J","BAIN-J,1956"
4121902,1968,"BAIN-J","BAIN-J,1968"
4127102,1990,"BAIRD-D","BAIRD-D,1990"
4135587,1971,"BAILEY-M","BAILEY-M,1971"
4183888,1967,"BALASSA-B","BALASSA-B,1967"
4202106,1972,"BALL-R","BALL-R,1972"
4216037,1986,"BAMBER-L","BAMBER-L,1986"
4218636,1968,"BALL-R","BALL-R,1968"
4224719,1987,"BALL-L","BALL-L,1987"
4256182,1981,"BANZ-R","BANZ-R,1981"
4265488,1978,"BALL-R","BALL-R,1978"
4312792,1938,"BARNARD-C","BARNARD-C,1938"
4315439,1985,"BARNEA-A","BARNEA-A,1985"
4409272,1976,"BARRO-R","BARRO-R,1976"
4413585,1981,"BARRO-R","BARRO-R,1981"
4413681,1980,"BARRO-R","BARRO-R,1980"
4416770,1978,"BARRO-R","BARRO-R,1978"
4452411,1966,"BARTLE-R","BARTLE-R,1966"
4543040,1959,"BAUMOL-W","BAUMOL-W,1959"
4544429,1982,"BAUMOL-W","BAUMOL-W,1982"
4545816,1965,"BAUMOL-W","BAUMOL-W,1965"
4556283,1979,"BAWA-V","BAWA-V,1979"
4577263,1984,"BEAMISH-P","BEAMISH-P,1984"
4599013,1970,"BEAVER-W","BEAVER-W,1970"
4601500,1968,"BEAVER-W","BEAVER-W,1968"
4601501,1972,"BEAVER-W","BEAVER-W,1972"
4605341,1964,"BECKER-G","BECKER-G,1964"
4605356,1976,"BECKER-G","BECKER-G,1976"
4608622,1980,"BEAVER-W","BEAVER-W,1980"
4609506,1981,"BEAVER-W","BEAVER-W,1981"
4634714,1979,"BEAVER-W","BEAVER-W,1979"
4634716,1982,"BEAVER-W","BEAVER-W,1982"
4637747,1981,"BEAVER-W","BEAVER-W,1981"
4708895,1968,"BELL-F","BELL-F,1968"
4709679,1980,"BELSLEY-D","BELSLEY-D,1980"
4757156,1982,"BEGG-D","BEGG-D,1982"
4760586,1976,"BEJA-A","BEJA-A,1976"
4827061,1980,"BENSTON-G","BENSTON-G,1980"
4843016,1986,"BENSTON-G","BENSTON-G,1986"
4850876,1932,"BERLE-A","BERLE-A,1932"
4850879,1954,"BERLE-A","BERLE-A,1954"
4976212,1975,"BERRY-C","BERRY-C,1975"
5009321,1976,"BERTSEKAS-D","BERTSEKAS-D,1976"
5011222,1883,"BERTRAND-J","BERTRAND-J,1883"
5035123,1979,"BETTMAN-J","BETTMAN-J,1979"
5051509,1982,"BEWLEY-T","BEWLEY-T,1982"
5065667,1983,"BICKELHAUPT-D","BICKELHAUPT-D,1983"
5119515,1968,"BILLINGSLEY-P","BILLINGSLEY-P,1968"
5123915,1961,"BILLINGSLEY-P","BILLINGSLEY-P,1961"
5130273,1978,"BILSON-J","BILSON-J,1978"
5138972,1978,"BILSON-J","BILSON-J,1978"
5166991,1983,"BINDER-J","BINDER-J,1983"
5206559,1972,"BLACK-F","BLACK-F,1972"
5210304,1976,"BLACK-F","BLACK-F,1976"
5210482,1973,"BLACK-F","BLACK-F,1973"
5215938,1954,"BLACKWELL-D","BLACKWELL-D,1954"
5216250,1980,"BLACK-F","BLACK-F,1980"
5218526,1982,"BLACK-F","BLACK-F,1982"
5227468,1964,"BLAU-P","BLAU-P,1964"
5235839,1951,"BLACKWELL-D","BLACKWELL-D,1951"
5254609,1971,"BLAU-P","BLAU-P,1971"
5274616,1982,"BLANCHARD-O","BLANCHARD-O,1982"
5278582,1982,"BLANCHARD-O","BLANCHARD-O,1982"
5341947,1974,"BLUM-M","BLUM-M,1974"
5375226,1984,"BODURTHA-J","BODURTHA-J,1984"
5464023,1981,"BOOKSTABER-R","BOOKSTABER-R,1981"
5522730,1978,"BORK-R","BORK-R,1978"
5609495,1984,"BOUND-J","BOUND-J,1984"
5628172,1981,"BOWEN-R","BOWEN-R,1981"
5631710,1970,"BOWER-J","BOWER-J,1970"
5635475,1976,"BOX-G","BOX-G,1976"
5647865,1981,"BOWEN-R","BOWEN-R,1981"
5713518,1983,"BRADLEY-M","BRADLEY-M,1983"
5728037,1982,"BRADLEY-M","BRADLEY-M,1982"
5741572,1984,"BRANDER-J","BRANDER-J,1984"
5777484,1982,"BRAUN-E","BRAUN-E,1982"
5790414,1983,"BRAY-M","BRAY-M,1983"
5795429,1991,"BREALEY-R","BREALEY-R,1991"
5800203,1975,"BRECHLING-F","BRECHLING-F,1975"
5890869,1966,"BRITTAIN-J","BRITTAIN-J,1966"
5891080,1980,"BRITTAIN-J","BRITTAIN-J,1980"
5892831,1982,"BROCK-W","BROCK-W,1982"
5892843,1986,"BROCK-W","BROCK-W,1986"
5894751,1982,"BROCKHAUS-R","BROCKHAUS-R,1982"
5912899,1979,"BROCK-W","BROCK-W,1979"
5913205,1978,"BROCK-W","BROCK-W,1978"
5957927,1976,"BROOKS-L","BROOKS-L,1976"
5988791,1978,"BROWN-L","BROWN-L,1978"
5998230,1976,"BROWN-C","BROWN-C,1976"
6005335,1979,"BROWN-L","BROWN-L,1979"
6010391,1972,"BROWN-P","BROWN-P,1972"
6012887,1983,"BROWN-S","BROWN-S,1983"
6014812,1983,"BROWN-S","BROWN-S,1983"
6041603,1979,"BRUDNEY-V","BRUDNEY-V,1979"
6058376,1982,"BROZEN-Y","BROZEN-Y,1982"
6070757,1981,"BRUNNER-K","BRUNNER-K,1981"
6084569,1962,"BUCHANAN-J","BUCHANAN-J,1962"
6087949,1976,"BUCKLEY-P","BUCKLEY-P,1976"
6094414,1985,"BUBLITZ-B","BUBLITZ-B,1985"
6099713,1979,"BUITER-W","BUITER-W,1979"
6206054,1946,"BURNS-A","BURNS-A,1946"
6207824,1961,"BURNS-T","BURNS-T,1961"
6212200,1972,"BURCH-P","BURCH-P,1972"
6294319,1983,"BURT-R","BURT-R,1983"
6351292,1956,"CAGAN-P","CAGAN-P,1956"
6356523,1965,"CAGAN-P","CAGAN-P,1965"
6361251,1984,"BYGRAVE-W","BYGRAVE-W,1984"
6448033,1968,"CALABRESI-G","CALABRESI-G,1968"
6469748,1987,"CAMPBELL-J","CAMPBELL-J,1987"
6469760,1986,"CAMPBELL-J","CAMPBELL-J,1986"
6635542,1969,"CARY-W","CARY-W,1969"
6721113,1979,"CASSON-M","CASSON-M,1979"
6745943,1980,"CAVES-R","CAVES-R,1980"
6749624,1996,"CAVES-R","CAVES-R,1996"
6782617,1980,"CAVES-R","CAVES-R,1980"
6819608,1933,"CHAMBERLIN-E","CHAMBERLIN-E,1933"
6834568,1977,"CHANDLER-A","CHANDLER-A,1977"
6834569,1962,"CHANDLER-A","CHANDLER-A,1962"
6834572,1977,"CHANDLER-A","CHANDLER-A,1977"
6859460,1980,"CHANDLER-A","CHANDLER-A,1980"
6877657,1973,"CHANNON-D","CHANNON-D,1973"
6997945,1983,"CHEN-N","CHEN-N,1983"
7024624,1969,"CHEUNG-S","CHEUNG-S,1969"
7025554,1979,"CHEW-S","CHEW-S,1979"
7049624,1979,"CHEW-S","CHEW-S,1979"
7102002,1983,"CHOW-G","CHOW-G,1983"
7104679,1983,"CHRISTIE-A","CHRISTIE-A,1983"
7134552,1987,"CHRISTIE-A","CHRISTIE-A,1987"
7155654,1990,"CHUNG-K","CHUNG-K,1990"
7208158,1986,"CLARK-R","CLARK-R,1986"
7214069,1975,"CICCOLO-J","CICCOLO-J,1975"
7227165,1985,"CLARK-R","CLARK-R,1985"
7308420,1965,"CLOWER-R","CLOWER-R,1965"
7313168,1972,"COASE-R","COASE-R,1972"
7345703,1977,"COHEN-L","COHEN-L,1977"
7352453,1974,"COHEN-M","COHEN-M,1974"
7352874,1986,"COHEN-K","COHEN-K,1986"
7420471,1975,"COLLINS-D","COLLINS-D,1975"
7430185,1981,"COLLINS-D","COLLINS-D,1981"
7443064,1982,"COLLINS-D","COLLINS-D,1982"
7450889,1970,"COLLINS-O","COLLINS-O,1970"
7453966,1974,"COMANOR-W","COMANOR-W,1974"
7460923,1934,"COMMONS-J","COMMONS-J,1934"
7461022,1980,"COLLINS-W","COLLINS-W,1980"
7491741,1981,"CONNOR-G","CONNOR-G,1981"
7576475,1975,"COOMBS-C","COOMBS-C,1975"
7592799,1964,"COOTNER-P","COOTNER-P,1964"
7594501,1988,"COPELAND-T","COPELAND-T,1988"
7608557,1980,"CORBIN-R","CORBIN-R,1980"
7648557,1981,"COSSLETT-S","COSSLETT-S,1981"
7720676,1965,"COX-D","COX-D,1965"
7720829,1980,"COWLING-K","COWLING-K,1980"
7721190,1984,"COX-D","COX-D,1984"
7721502,1978,"COX-J","COX-J,1978"
7723077,1982,"CRAGG-J","CRAGG-J,1982"
7725497,1978,"COX-J","COX-J,1978"
7727454,1975,"COX-J","COX-J,1975"
7727458,1978,"COX-J","COX-J,1978"
7727468,1985,"COX-J","COX-J,1985"
7746437,1939,"COWLES-A","COWLES-A,1939"
7810639,1978,"CRICHFIELD-T","CRICHFIELD-T,1978"
7874491,1985,"CUMBY-R","CUMBY-R,1985"
7886747,1984,"CUMBY-R","CUMBY-R,1984"
7896771,1984,"CUMBY-R","CUMBY-R,1984"
7903180,1977,"CURHAN-J","CURHAN-J,1977"
7948004,1963,"CYERT-R","CYERT-R,1963"
7949600,1983,"DAFT-R","DAFT-R,1983"
7971460,1974,"DAHLQUIST-G","DAHLQUIST-G,1974"
8020975,1978,"DANIEL-W","DANIEL-W,1978"
8043393,1981,"DANN-L","DANN-L,1981"
8068481,1983,"DARBY-M","DARBY-M,1983"
8073673,1979,"DARBY-M","DARBY-M,1979"
8124334,1957,"DAVIDSON-D","DAVIDSON-D,1957"
8167784,1979,"DAVIES-S","DAVIES-S,1979"
8201102,1982,"DEAL-T","DEAL-T,1982"
8219486,1981,"DEANGELO-L","DEANGELO-L,1981"
8242404,1980,"DEANGELO-H","DEANGELO-H,1980"
8245177,1972,"DEAKIN-E","DEAKIN-E,1972"
8257075,1959,"DEBREU-G","DEBREU-G,1959"
8319234,1970,"DEGROOT-M","DEGROOT-M,1970"
8406872,1982,"DELLACHERIE-C","DELLACHERIE-C,1982"
8469205,1982,"DEMSETZ-H","DEMSETZ-H,1982"
8469971,1980,"DEMSKI-J","DEMSKI-J,1980"
8471455,1976,"DEMSKI-J","DEMSKI-J,1976"
8473904,1974,"DEMSETZ-H","DEMSETZ-H,1974"
8488347,1978,"DEMSKI-J","DEMSKI-J,1978"
8515296,1978,"DENNY-M","DENNY-M,1978"
8672093,1980,"DHALIWAL-D","DHALIWAL-D,1980"
