"Id","Annee_mode","Nom_mode","Label"
342923,1999,"*BRC","*BRC,1999"
3016490,1991,"AAKER-D","AAKER-D,1991"
3038049,2002,"ABARBANELL-J","ABARBANELL-J,2002"
3084793,1978,"ABERNATHY-W","ABERNATHY-W,1978"
3087240,1996,"ABOLAFIA-M","ABOLAFIA-M,1996"
3125990,1990,"ACS-Z","ACS-Z,1990"
3186060,1991,"ADLER-N","ADLER-N,1991"
3224772,1998,"AGHION-P","AGHION-P,1998"
3231469,1967,"AGUILAR-F","AGUILAR-F,1967"
3231585,2004,"AGRAWAL-A","AGRAWAL-A,2004"
3239695,1966,"AHARONI-Y","AHARONI-Y,1966"
3265617,1991,"AIKEN-L","AIKEN-L,1991"
3265988,1992,"AINSLIE-G","AINSLIE-G,1992"
3271061,1973,"AKAIKE-H","AKAIKE-H,1973"
3337829,1969,"ALCHIAN-A","ALCHIAN-A,1969"
3345605,1999,"ALDRICH-H","ALDRICH-H,1999"
3346909,1979,"ALDRICH-H","ALDRICH-H,1979"
3350931,1994,"ALESINA-A","ALESINA-A,1994"
3350939,1997,"ALESINA-A","ALESINA-A,1997"
3361974,1995,"ALESINA-A","ALESINA-A,1995"
3367472,1986,"ALDRICH-H","ALDRICH-H,1986"
3406378,1979,"ALLAIS-M","ALLAIS-M,1979"
3416433,2000,"ALLEN-F","ALLEN-F,2000"
3418442,2000,"ALLEN-F","ALLEN-F,2000"
3423693,2003,"ALLEN-F","ALLEN-F,2003"
3431755,1993,"ALLEN-F","ALLEN-F,1993"
3432527,1994,"ALLEN-F","ALLEN-F,1994"
3440277,1977,"ALLEN-T","ALLEN-T,1977"
3442931,1971,"ALLISON-G","ALLISON-G,1971"
3442981,1984,"ALLISON-P","ALLISON-P,1984"
3447249,1995,"ALLISON-P","ALLISON-P,1995"
3453226,2002,"ALMEIDA-H","ALMEIDA-H,2002"
3459422,1982,"ALPERT-M","ALPERT-M,1982"
3463547,1983,"ALTMAN-E","ALTMAN-E,1983"
3506598,2005,"ALTIG-D","ALTIG-D,2005"
3528624,1996,"AMABILE-T","AMABILE-T,1996"
3530129,2003,"AMABLE-B","AMABLE-B,2003"
3539914,1985,"AMEMIYA-T","AMEMIYA-T,1985"
3540815,1994,"AMIN-A","AMIN-A,1994"
3542178,1989,"AMSDEN-A","AMSDEN-A,1989"
3542294,2004,"AMIN-A","AMIN-A,2004"
3543926,1999,"AMRAM-M","AMRAM-M,1999"
3547554,2009,"ANDERSEN-T","ANDERSEN-T,2009"
3547564,2002,"ANDERSEN-T","ANDERSEN-T,2002"
3552306,2002,"ANDERSON-K","ANDERSON-K,2002"
3555258,1992,"ANDERSON-S","ANDERSON-S,1992"
3555744,1958,"ANDERSON-T","ANDERSON-T,1958"
3573350,1994,"AMIHUD-Y","AMIHUD-Y,1994"
3587998,1971,"ANDREWS-K","ANDREWS-K,1971"
3590647,2001,"ANG-A","ANG-A,2001"
3697137,1995,"ANSELIN-L","ANSELIN-L,1995"
3697144,1988,"ANSELIN-L","ANSELIN-L,1988"
3698862,1965,"ANSOFF-H","ANSOFF-H,1965"
3699541,1965,"ANSOFF-H","ANSOFF-H,1965"
3706568,2002,"ANTLE-R","ANTLE-R,2002"
3717160,1988,"AOKI-M","AOKI-M,1988"
3717174,2001,"AOKI-M","AOKI-M,2001"
3729917,1994,"AOKI-M","AOKI-M,1994"
3775360,1988,"ARELLANO-M","ARELLANO-M,1988"
3777685,1998,"ARELLANO-M","ARELLANO-M,1998"
3778443,2003,"ARELLANO-M","ARELLANO-M,2003"
3779212,1998,"ARELLANO-M","ARELLANO-M,1998"
3782115,1999,"ARGOTE-L","ARGOTE-L,1999"
3782363,1978,"ARGYRIS-C","ARGYRIS-C,1978"
3812718,1974,"ARROW-K","ARROW-K,1974"
3829231,1971,"ARROW-K","ARROW-K,1971"
3829279,1985,"ARROW-K","ARROW-K,1985"
3829547,2001,"ARORA-A","ARORA-A,2001"
3831824,1994,"ARTHUR-W","ARTHUR-W,1994"
3833731,1973,"ARROW-K","ARROW-K,1973"
3840603,1965,"ARROW-K","ARROW-K,1965"
3843749,1962,"ARROW-K","ARROW-K,1962"
3843813,1968,"ARROW-K","ARROW-K,1968"
3890703,1956,"ASHBY-W","ASHBY-W,1956"
3947931,1998,"ATHEY-S","ATHEY-S,1998"
3979328,1995,"AUDRETSCH-D","AUDRETSCH-D,1995"
3998319,1984,"AXELROD-R","AXELROD-R,1984"
3998354,1992,"AXELSSON-B","AXELSSON-B,1992"
4061844,1995,"BACKUS-D","BACKUS-D,1995"
4101394,1991,"BADARACCO-J","BADARACCO-J,1991"
4109041,1873,"BAGEHOT-W","BAGEHOT-W,1873"
4109308,1980,"BAGOZZI-R","BAGOZZI-R,1980"
4116855,1994,"BAGOZZI-R","BAGOZZI-R,1994"
4117424,2006,"BAI-J","BAI-J,2006"
4118422,1956,"BAIN-J","BAIN-J,1956"
4121902,1968,"BAIN-J","BAIN-J,1968"
4133250,2002,"BAINBRIDGE-S","BAINBRIDGE-S,2002"
4156604,1992,"BAEK-E","BAEK-E,1992"
4169246,1992,"BAILY-M","BAILY-M,1992"
4184291,2000,"BALDWIN-C","BALDWIN-C,2000"
4206871,1995,"BALDWIN-J","BALDWIN-J,1995"
4210062,2001,"BALL-R","BALL-R,2001"
4212330,1995,"BALTAGI-B","BALTAGI-B,1995"
4218783,2005,"BANDI-F","BANDI-F,2005"
4218888,1986,"BANDURA-A","BANDURA-A,1986"
4218889,1977,"BANDURA-A","BANDURA-A,1977"
4219674,1993,"BANERJEE-A","BANERJEE-A,1993"
