"Id","Annee_mode","Nom_mode","Label"
3227546,1972,"AGMON-T","AGMON-T,1972"
3340593,1962,"ALCHIAN-A","ALCHIAN-A,1962"
3342650,1970,"ALCHIAN-A","ALCHIAN-A,1970"
3555744,1958,"ANDERSON-T","ANDERSON-T,1958"
3578552,1964,"ANDERSON-W","ANDERSON-W,1964"
3829231,1971,"ARROW-K","ARROW-K,1971"
3832017,1971,"ARROW-K","ARROW-K,1971"
3840603,1965,"ARROW-K","ARROW-K,1965"
4065101,1900,"BACHELIER-L","BACHELIER-L,1900"
4118422,1956,"BAIN-J","BAIN-J,1956"
4202106,1972,"BALL-R","BALL-R,1972"
4218636,1968,"BALL-R","BALL-R,1968"
4312792,1938,"BARNARD-C","BARNARD-C,1938"
4409272,1976,"BARRO-R","BARRO-R,1976"
4543040,1959,"BAUMOL-W","BAUMOL-W,1959"
4599013,1970,"BEAVER-W","BEAVER-W,1970"
4850876,1932,"BERLE-A","BERLE-A,1932"
5206559,1972,"BLACK-F","BLACK-F,1972"
5210301,1973,"BLACK-F","BLACK-F,1973"
5227468,1964,"BLAU-P","BLAU-P,1964"
5301976,1973,"BLUME-M","BLUME-M,1973"
5317410,1968,"BLUME-M","BLUME-M,1968"
5343942,1971,"BLUME-M","BLUME-M,1971"
5505485,1968,"BORCH-K","BORCH-K,1968"
5630592,1970,"BOX-G","BOX-G,1970"
5635475,1976,"BOX-G","BOX-G,1976"
5821122,1970,"BRENNAN-M","BRENNAN-M,1970"
6010391,1972,"BROWN-P","BROWN-P,1972"
6207824,1961,"BURNS-T","BURNS-T,1961"
6212200,1972,"BURCH-P","BURCH-P,1972"
6351292,1956,"CAGAN-P","CAGAN-P,1956"
6819608,1933,"CHAMBERLIN-E","CHAMBERLIN-E,1933"
6834569,1962,"CHANDLER-A","CHANDLER-A,1962"
7308420,1965,"CLOWER-R","CLOWER-R,1965"
7592799,1964,"COOTNER-P","COOTNER-P,1964"
7720676,1965,"COX-D","COX-D,1965"
7727454,1975,"COX-J","COX-J,1975"
7759170,1946,"CRAMER-H","CRAMER-H,1946"
7948004,1963,"CYERT-R","CYERT-R,1963"
8124334,1957,"DAVIDSON-D","DAVIDSON-D,1957"
8257071,1959,"DEBREU-G","DEBREU-G,1959"
8257075,1959,"DEBREU-G","DEBREU-G,1959"
9013560,1974,"DREZE-J","DREZE-J,1974"
9671498,1968,"EVANS-J","EVANS-J,1968"
9784286,1968,"FAMA-E","FAMA-E,1968"
9784288,1972,"FAMA-E","FAMA-E,1972"
9784475,1969,"FAMA-E","FAMA-E,1969"
9784477,1976,"FAMA-E","FAMA-E,1976"
9793076,1965,"FAMA-E","FAMA-E,1965"
9793083,1973,"FAMA-E","FAMA-E,1973"
9793723,1969,"FAMA-E","FAMA-E,1969"
9793728,1970,"FAMA-E","FAMA-E,1970"
9808723,1962,"FARRAR-D","FARRAR-D,1962"
10083175,1968,"FAMA-E","FAMA-E,1968"
10093617,1964,"FISHBURN-P","FISHBURN-P,1964"
10094135,1930,"FISHER-I","FISHER-I,1930"
10317940,1977,"FOSTER-G","FOSTER-G,1977"
10526588,1953,"FRIEDMAN-M","FRIEDMAN-M,1953"
10526626,1957,"FRIEDMAN-M","FRIEDMAN-M,1957"
10527918,1969,"FRIEDMAN-M","FRIEDMAN-M,1969"
10682331,1967,"GALBRAITH-J","GALBRAITH-J,1967"
11215642,1966,"GLASS-G","GLASS-G,1966"
11255368,1954,"GNEDENKO-B","GNEDENKO-B,1954"
11274817,1964,"GOLDBERGER-A","GOLDBERGER-A,1964"
11431556,1962,"GORDON-M","GORDON-M,1962"
11436738,1945,"GORDON-R","GORDON-R,1945"
11569824,1970,"GRANGER-C","GRANGER-C,1970"
11758980,1977,"GRIFFIN-P","GRIFFIN-P,1977"
11804826,1968,"GRUBEL-H","GRUBEL-H,1968"
11963721,1936,"HABERLER-G","HABERLER-G,1936"
12073369,1970,"HAKANSSON-N","HAKANSSON-N,1970"
12094484,1960,"HALL-C","HALL-C,1960"
12130830,1969,"HAMADA-R","HAMADA-R,1969"
12585619,1958,"HEIDER-F","HEIDER-F,1958"
12837678,1958,"HICKMAN-W","HICKMAN-W,1958"
12838770,1946,"HICKS-J","HICKS-J,1946"
12949704,1970,"HIRSHLEIFER-J","HIRSHLEIFER-J,1970"
13266950,1968,"HOUTHAKKER-H","HOUTHAKKER-H,1968"
13889431,1967,"JENSEN-M","JENSEN-M,1967"
13889469,1972,"JENSEN-M","JENSEN-M,1972"
13912659,1972,"JENSEN-M","JENSEN-M,1972"
13920058,1969,"JENSEN-M","JENSEN-M,1969"
14019388,1972,"JOHNSTON-J","JOHNSTON-J,1972"
14391607,1966,"KATZ-D","KATZ-D,1966"
14493121,1971,"KELLEY-H","KELLEY-H,1971"
14603547,1936,"KEYNES-J","KEYNES-J,1936"
14889963,1921,"KNIGHT-F","KNIGHT-F,1921"
15120806,1954,"KOYCK-L","KOYCK-L,1954"
15259406,1963,"KUH-E","KUH-E,1963"
15352517,1967,"KUSHNER-H","KUSHNER-H,1967"
15593237,1970,"LARNER-R","LARNER-R,1970"
15631800,1959,"LATANE-H","LATANE-H,1959"
15686441,1967,"LAWRENCE-P","LAWRENCE-P,1967"
15862899,1968,"LEIJONHUFVUD-A","LEIJONHUFVUD-A,1968"
16047464,1925,"LEVY-P","LEVY-P,1925"
16056864,1972,"LEVY-H","LEVY-H,1972"
16061941,1925,"LEVY-P","LEVY-P,1925"
16235653,1969,"LINTNER-J","LINTNER-J,1969"
16237272,1965,"LINTNER-J","LINTNER-J,1965"
16238356,1965,"LINTNER-J","LINTNER-J,1965"
16511040,1972,"LUCAS-R","LUCAS-R,1972"
16561904,1951,"LUTZ-F","LUTZ-F,1951"
16862907,1966,"MALINVAUD-E","MALINVAUD-E,1966"
16927553,1973,"MANDELKER-G","MANDELKER-G,1973"
16964454,1958,"MARCH-J","MARCH-J,1958"
16982579,1959,"MARKOWITZ-H","MARKOWITZ-H,1959"
17006402,1952,"MARKOWITZ-H","MARKOWITZ-H,1952"
17093916,1964,"MARRIS-R","MARRIS-R,1964"
17347184,1972,"MAYERS-D","MAYERS-D,1972"
17453395,1964,"MCCRACKEN-D","MCCRACKEN-D,1964"
17538905,1969,"MCKEAN-H","MCKEAN-H,1969"
17681590,1962,"MEISELMAN-D","MEISELMAN-D,1962"
17781321,1964,"MEYER-J","MEYER-J,1964"
17783272,1973,"MERTON-R","MERTON-R,1973"
17791782,1957,"MEYER-J","MEYER-J,1957"
17841708,1974,"MERTON-R","MERTON-R,1974"
17975832,1972,"MILLER-M","MILLER-M,1972"
17982369,1956,"MILLS-C","MILLS-C,1956"
17990557,1961,"MILLER-M","MILLER-M,1961"
18120208,1954,"MODIGLIANI-F","MODIGLIANI-F,1954"
18140032,1958,"MODIGLIANI-F","MODIGLIANI-F,1958"
18201381,1974,"MOOD-A","MOOD-A,1974"
18242380,1962,"MOORE-A","MOORE-A,1962"
18409404,1973,"MOSSIN-J","MOSSIN-J,1973"
18423574,1966,"MOSSIN-J","MOSSIN-J,1966"
18825528,1947,"NEUMANN-J","NEUMANN-J,1947"
19176993,1971,"OFFICER-R","OFFICER-R,1971"
19685603,1967,"PARTHASARATHY-K","PARTHASARATHY-K,1967"
19696249,1965,"PATINKIN-D","PATINKIN-D,1965"
19882291,1959,"PENROSE-E","PENROSE-E,1959"
19949687,1970,"PERROW-C","PERROW-C,1970"
20025211,1972,"PHELPS-E","PHELPS-E,1972"
20025407,1970,"PHELPS-E","PHELPS-E,1970"
20668512,1961,"RAIFFA-H","RAIFFA-H,1961"
20783932,1964,"PRATT-J","PRATT-J,1964"
20790036,1973,"RAO-C","RAO-C,1973"
21272024,1959,"ROBERTS-D","ROBERTS-D,1959"
21293232,1965,"ROBICHEK-A","ROBICHEK-A,1965"
21398077,1964,"ROGOFF-D","ROGOFF-D,1964"
21416813,1970,"ROLL-R","ROLL-R,1970"
21422242,1968,"ROLL-R","ROLL-R,1968"
22072376,1954,"SAVAGE-L","SAVAGE-L,1954"
22080605,1954,"SAVAGE-L","SAVAGE-L,1954"
22180507,1970,"SCHERER-F","SCHERER-F,1970"
22354688,1969,"SCHOLES-M","SCHOLES-M,1969"
22621594,1949,"SELZNICK-P","SELZNICK-P,1949"
22716633,1970,"SHARPE-W","SHARPE-W,1970"
22722328,1964,"SHARPE-W","SHARPE-W,1964"
22725047,1963,"SHARPE-W","SHARPE-W,1963"
22920002,1956,"SIEGEL-S","SIEGEL-S,1956"
23014031,1957,"SIMON-H","SIMON-H,1957"
23320169,1963,"SOLOMON-E","SOLOMON-E,1963"
23740290,1963,"STIGLER-G","STIGLER-G,1963"
23740812,1972,"STIGLITZ-J","STIGLITZ-J,1972"
23743544,1969,"STIGLITZ-J","STIGLITZ-J,1969"
24188167,1971,"TATSUOKA-M","TATSUOKA-M,1971"
24352424,1971,"THEIL-H","THEIL-H,1971"
24422039,1967,"THOMPSON-J","THOMPSON-J,1967"
24546527,1965,"TOBIN-J","TOBIN-J,1965"
25094803,1977,"VANHORNE-J","VANHORNE-J,1977"
25302353,1937,"VINER-J","VINER-J,1937"
25387792,1944,"VONNEUMANN-J","VONNEUMANN-J,1944"
25388601,1947,"VONNEUMANN-J","VONNEUMANN-J,1947"
25777577,1975,"WATTS-R","WATTS-R,1975"
25939371,1971,"WEST-R","WEST-R,1971"
25943087,1972,"WESTON-J","WESTON-J,1972"
26118513,1971,"WIESENBERGER-A","WIESENBERGER-A,1971"
26183959,1975,"WILLIAMSON-O","WILLIAMSON-O,1975"
26193608,1964,"WILLIAMSON-O","WILLIAMSON-O,1964"
26224275,1969,"WILSON-R","WILSON-R,1969"
26334463,1963,"WISE-J","WISE-J,1963"
27036916,1973,"MERTON-R","MERTON-R,1973"
27370076,1965,"HIRSHLEIFER-J","HIRSHLEIFER-J,1965"
27420587,1973,"MODIGLIANI-F","MODIGLIANI-F,1973"
27498077,1971,"DAWES-R","DAWES-R,1971"
27592219,1972,"STIGLITZ-J","STIGLITZ-J,1972"
27966563,1969,"BORCH-K","BORCH-K,1969"
28135699,1967,"SAMUELSON-P","SAMUELSON-P,1967"
28146926,1966,"TREYNOR-J","TREYNOR-J,1966"
28227097,1970,"STIGLITZ-J","STIGLITZ-J,1970"
28268029,1967,"MANDELBROT-B","MANDELBROT-B,1967"
28361015,1971,"MERTON-R","MERTON-R,1971"
28404852,1973,"KRAUS-A","KRAUS-A,1973"
28630620,1967,"DIAMOND-P","DIAMOND-P,1967"
28720107,1958,"TOBIN-J","TOBIN-J,1958"
28760781,1969,"JENSEN-M","JENSEN-M,1969"
28791737,1960,"COWLES-A","COWLES-A,1960"
28840034,1969,"HANOCH-G","HANOCH-G,1969"
28864651,1975,"BLUME-M","BLUME-M,1975"
29142127,1969,"SANDMO-A","SANDMO-A,1969"
29377883,1973,"PINCHES-G","PINCHES-G,1973"
29618814,1963,"SHARPE-W","SHARPE-W,1963"
29980740,1976,"ROSS-S","ROSS-S,1976"
30001927,1964,"PRATT-J","PRATT-J,1964"
30006485,1971,"MERTON-R","MERTON-R,1971"
30009485,1968,"MOSSIN-J","MOSSIN-J,1968"
30051279,1970,"FAMA-E","FAMA-E,1970"
30200308,1972,"RADNER-R","RADNER-R,1972"
30237637,1975,"SARGENT-T","SARGENT-T,1975"
30459318,1970,"FAMA-E","FAMA-E,1970"
