"Source","Target","N","nb_cit_Target","nb_cit_Source","Weight"
3442931,3346909,4,35,18,0.159363814577919
3506696,3483039,6,8,9,0.707106781186548
3516438,3483039,4,8,6,0.577350269189626
3516438,3506696,4,9,6,0.544331053951817
3698862,3587998,6,21,18,0.308606699924184
3765277,3736908,9,13,12,0.720576692122892
3812718,3346909,4,35,36,0.112687233963802
3829231,3406378,5,14,83,0.146678662212214
3952627,3949807,6,16,14,0.400891862868637
4216037,3952627,4,14,5,0.478091443733757
4218636,3255456,5,8,41,0.276078815187116
4218636,3949807,4,16,41,0.156173761888606
4218636,3952627,5,14,41,0.208695967782421
4218636,4202106,4,8,41,0.220863052149693
4256182,3949807,4,16,18,0.235702260395516
4265488,4256182,4,18,8,0.333333333333333
4312792,3812718,6,36,23,0.208514414057075
4543040,3812718,5,36,44,0.125629726907402
4543040,4312792,5,23,44,0.157173653365483
4544429,4118422,10,32,39,0.283069258536149
4601500,3949807,5,16,19,0.286769667338202
4601500,3952627,6,14,19,0.367883603690979
4601500,4216037,4,5,19,0.410391340834062
4601500,4218636,7,41,19,0.250801027365006
4601501,4218636,7,41,9,0.364405444406747
4605356,3829231,4,83,10,0.138842026900125
4608622,4202106,4,8,17,0.342997170285018
4608622,4218636,10,41,17,0.378777009539285
4609506,4218636,4,41,15,0.161295567709102
4634714,3255456,4,8,24,0.288675134594813
4634714,3949807,6,16,24,0.306186217847897
4634714,3952627,5,14,24,0.272772362794991
4634714,4218636,14,41,24,0.446303699144337
4634714,4601500,5,19,24,0.234146452895423
4634714,4601501,4,9,24,0.272165526975909
4634714,4608622,5,17,24,0.247536885744169
4634714,4609506,4,15,24,0.210818510677892
4637747,4218636,4,41,7,0.236112534440382
4850876,3337829,4,7,98,0.152720709664243
4850876,3812718,10,36,98,0.168358757425368
4850876,4312792,8,23,98,0.168505092748454
4850876,4543040,26,44,98,0.395944187517562
4850876,4827061,4,8,98,0.142857142857143
4850879,4850876,7,98,8,0.25
5341947,3483039,4,8,4,0.707106781186547
5341947,3506696,4,9,4,0.666666666666667
5631710,3346909,4,35,16,0.169030850945703
5631710,3442931,5,18,16,0.294627825494395
5631710,3587998,4,21,16,0.218217890235992
5631710,3698862,5,18,16,0.294627825494395
5635475,3579538,7,33,113,0.114630938573778
5635475,5119515,4,26,113,0.073796216380491
5795429,4850876,9,98,92,0.0947841146710053
5912899,5892831,4,28,6,0.308606699924184
5957927,4608622,4,17,6,0.39605901719067
5988791,4601500,4,19,12,0.264906471413009
5988791,4634714,6,24,12,0.353553390593274
6005335,3073083,4,4,7,0.755928946018454
6005335,5988791,5,12,7,0.545544725589981
6010391,4218636,4,41,7,0.236112534440382
6010391,4634714,4,24,7,0.308606699924184
6084569,4850876,5,98,17,0.122498989387506
6087949,3239695,4,8,21,0.308606699924184
6094414,4218636,4,41,6,0.255030685225335
6207824,3231469,5,9,25,0.333333333333333
6207824,3346909,4,35,25,0.135224680756563
6207824,3587998,4,21,25,0.174574312188794
6207824,3698862,4,18,25,0.188561808316413
6207824,5254609,4,6,25,0.32659863237109
6212200,4850876,5,98,10,0.159719141249985
6448033,3829231,4,83,4,0.219528519979381
6721113,6087949,6,21,8,0.462910049886276
6745943,4976212,5,14,14,0.357142857142857
6834568,3812718,4,36,19,0.152943822580375
6834568,4312792,4,23,19,0.191345949293976
6834569,3231469,4,9,69,0.160514470781026
6834569,3346909,12,35,69,0.244187078266944
6834569,3442931,4,18,69,0.113500870767833
6834569,3587998,13,21,69,0.341514509370277
6834569,3698862,10,18,69,0.283752176919583
6834569,3699844,4,6,69,0.196589274873196
6834569,3782363,5,9,69,0.200643088476282
6834569,3812718,9,36,69,0.180578779628654
6834569,4312792,10,23,69,0.251021856169402
6834569,4543040,4,44,69,0.0725954008640628
6834569,4850876,13,98,69,0.158090498569482
6834569,5631710,13,16,69,0.39125402252875
6834569,6207824,10,25,69,0.240771706171538
6834569,6834568,5,19,69,0.138092044166527
6834572,3812718,6,36,29,0.185695338177052
6834572,4543040,5,44,29,0.139973127738964
6834572,4850876,8,98,29,0.150064494696826
6834572,6749624,4,16,29,0.185695338177052
6834572,6834569,11,69,29,0.245906008705443
6877657,6207824,5,25,12,0.288675134594813
6877657,6834569,8,69,12,0.278019218742766
7049624,3406378,4,14,8,0.377964473009227
7104679,4601500,4,19,9,0.305887645160749
7134552,4218636,4,41,6,0.255030685225335
7208158,4545816,4,9,11,0.402015126103685
7208158,4850876,5,98,11,0.152286225968293
7208158,5795429,4,92,11,0.125738922692386
7227165,7208158,4,11,7,0.455842305838552
7313168,4850876,5,98,8,0.178571428571429
7450889,3231469,5,9,7,0.629940788348712
7450889,6207824,4,25,7,0.302371578407382
7461022,5988791,4,12,4,0.577350269189626
7461022,6005335,4,7,4,0.755928946018454
7592799,4051501,4,10,15,0.32659863237109
7594501,5795429,10,92,51,0.145989290618446
7720676,5123915,4,6,19,0.374634324632678
7810639,5957927,4,6,6,0.666666666666667
7810639,5988791,5,12,6,0.58925565098879
7810639,6005335,4,7,6,0.617213399848368
7896771,5138972,5,10,32,0.279508497187474
7896771,7874491,4,6,32,0.288675134594813
7903180,6087949,4,21,6,0.356348322549899
7948004,3231469,6,9,75,0.23094010767585
7948004,3346909,11,35,75,0.214698016048677
7948004,3442931,11,18,75,0.2993820796735
7948004,3587998,6,21,75,0.151185789203691
7948004,3698862,5,18,75,0.136082763487954
7948004,3782363,7,9,75,0.269430125621825
7948004,3812718,6,36,75,0.115470053837925
7948004,3829231,6,83,75,0.0760469100629374
7948004,4312792,11,23,75,0.264848876788692
7948004,4543040,9,44,75,0.156669890360128
7948004,4850876,11,98,75,0.128306605574357
7948004,5631710,6,16,75,0.173205080756888
7948004,6207824,7,25,75,0.161658075373095
7948004,6834569,19,69,75,0.264118257805628
7948004,6834572,5,29,75,0.107211253483779
7948004,6877657,4,12,75,0.133333333333333
7948004,7352453,4,4,75,0.23094010767585
8073673,4416770,4,11,10,0.381385035698237
8245177,3483039,4,8,5,0.632455532033676
8245177,3506696,4,9,5,0.596284793999944
8257075,3829231,6,83,53,0.0904636839215663
8257075,3832017,4,15,53,0.141865380426382
8257075,7948004,5,75,53,0.0793051585718144
8406872,7155654,6,6,8,0.866025403784439
8471455,8469971,4,5,6,0.730296743340221
8473904,6058376,4,8,10,0.447213595499958
8488347,8471455,4,6,8,0.577350269189626
8515296,4708895,4,11,4,0.603022689155527
8702856,5274616,4,22,5,0.381385035698237
8762079,3812718,7,36,18,0.274985970461435
8762079,4312792,6,23,18,0.294883912309794
8762079,4543040,4,44,18,0.14213381090374
8762079,4850876,6,98,18,0.142857142857143
8762079,6834569,6,69,18,0.17025130615175
8762079,7948004,5,75,18,0.136082763487954
8872319,3442931,4,18,9,0.314269680527354
8872319,6834569,4,69,9,0.160514470781026
8872319,7948004,5,75,9,0.192450089729875
8874435,7896771,4,32,15,0.182574185835055
8882581,4850876,4,98,9,0.134687005940295
8890946,4850876,4,98,16,0.101015254455221
8890946,5795429,4,92,16,0.104257207028537
8942485,4544429,4,39,7,0.242091013067521
8962888,4850876,5,98,16,0.126269068069026
8962888,6084569,5,17,16,0.303169531295416
8963465,3442931,4,18,10,0.298142396999972
8963465,7948004,5,75,10,0.182574185835055
9147079,6087949,4,21,9,0.290957186981323
9147097,6087949,5,21,8,0.38575837490523
9346202,4850876,11,98,17,0.269497776652514
9346202,4850879,5,8,17,0.428746462856272
9346202,5795429,6,92,17,0.151716521227252
9346202,6084569,4,17,17,0.235294117647059
9346202,6635542,4,11,17,0.292508969650852
9346202,8962888,4,16,17,0.242535625036333
9362782,3053852,4,10,14,0.338061701891407
9395753,3788494,4,6,6,0.666666666666667
9395753,9323983,4,8,6,0.577350269189626
9784288,4218636,4,41,81,0.0694105608393805
9784288,4609506,4,15,81,0.114755062109849
9784288,4850876,5,98,81,0.0561195858084562
9784288,5795429,4,92,81,0.0463365364571277
9784288,8257075,4,53,81,0.0610491395327507
9784477,3555744,4,22,207,0.0592738965965849
9784477,3699519,5,7,207,0.131351734373183
9784477,3736908,5,13,207,0.0963858219943734
9784477,3765277,4,12,207,0.0802572353905128
9784477,4850876,8,98,207,0.0561683642494846
9784477,5206559,24,75,207,0.192617364937231
9784477,5635475,8,113,207,0.0523076961766049
9784477,5795429,8,92,207,0.0579710144927536
9784477,6014812,5,7,207,0.131351734373183
9784477,7594501,14,51,207,0.136256671243883
9784477,8257075,5,53,207,0.0477360958438504
9784477,9784288,10,81,207,0.0772275607618795
9784478,4218636,9,41,25,0.281112771399491
9784478,9784477,8,207,25,0.111207687497107
9957130,8242404,5,16,5,0.559016994374947
10094127,3699519,4,7,11,0.455842305838552
10094127,9784477,4,207,11,0.0838259484615909
10094135,3699519,4,7,42,0.233284737407922
10094135,5635475,10,113,42,0.145156381370837
10094135,9784477,6,207,42,0.0643489452087787
10094135,10094127,4,11,42,0.186096842079694
10099377,3406378,5,14,18,0.314970394174356
10099377,3829231,4,83,18,0.103486736760844
10099377,7049624,4,8,18,0.333333333333333
10108920,7608557,4,5,8,0.632455532033676
10160786,3736908,7,13,7,0.733799385705343
10160786,3765277,4,12,7,0.436435780471985
10311837,4218636,7,41,43,0.166713927880339
10311837,4601500,5,19,43,0.17492785713533
10311837,4609506,5,15,43,0.196874807739539
10311837,4634714,4,24,43,0.124514561272938
10311837,5795429,5,92,43,0.0794953750936117
10311837,7594501,4,51,43,0.0854162843517964
10311837,9784477,4,207,43,0.0423975333832596
10312971,4218636,4,41,9,0.208231682518141
10313116,10312492,4,8,6,0.577350269189626
10317940,4218636,7,41,14,0.292174354895389
10317940,4601501,4,9,14,0.356348322549899
10317940,4608622,4,17,14,0.259281489420866
10317940,4634714,4,24,14,0.218217890235992
10317940,5988791,4,12,14,0.308606699924184
10318072,4634714,5,24,11,0.307728727448332
10318072,5988791,4,12,11,0.348155311911396
10400151,4850876,4,98,4,0.202030508910442
10414659,6087949,4,21,9,0.290957186981323
10435025,3843749,5,28,11,0.284901441149095
10507288,3284327,4,6,12,0.471404520791032
10507288,3952627,4,14,12,0.308606699924184
10507288,4218636,4,41,12,0.180333926933486
10507288,4601500,4,19,12,0.264906471413009
10507288,4634714,6,24,12,0.353553390593274
10507288,5988791,6,12,12,0.5
10507288,6005335,4,7,12,0.436435780471985
10526006,5011222,4,9,24,0.272165526975909
