"Source","Target","N","nb_cit_Target","nb_cit_Source","Weight"
3346909,3231469,7,21,102,0.151247535495505
3442981,3442976,6,14,32,0.28347335475692
3542178,3318380,6,29,18,0.262612865719445
3587998,3346909,11,102,80,0.121772046761763
3698862,3346909,6,102,53,0.0816043349374109
3698862,3587998,23,80,53,0.353219692179522
3717160,3035137,6,34,63,0.129640744710433
3717888,3717160,10,63,22,0.268607654675127
3782363,3231469,7,21,72,0.180020574955774
3782363,3346909,7,102,72,0.0816830049016339
3782363,3587998,9,80,72,0.118585412256314
3812718,3782363,8,72,87,0.101079739143854
3843749,3125990,7,27,71,0.159877365626424
3843749,3812718,8,87,71,0.101789079349217
3979328,3125990,7,27,18,0.31752644813856
3998319,3346909,7,102,112,0.065492103999448
3998319,3462153,6,7,112,0.214285714285714
3998319,3717160,8,63,112,0.0952380952380952
3998319,3812718,11,87,112,0.111435623540052
4118422,3587998,10,80,74,0.129968811227509
4118422,3698862,11,53,74,0.175646253371099
4121902,3587998,6,80,29,0.12456821978061
4121902,3698862,6,53,29,0.153043298247854
4121902,4118422,7,74,29,0.151106512121721
4204731,3125990,6,27,6,0.471404520791032
4205411,3843749,7,71,13,0.230407806536822
4294357,3998319,7,112,14,0.176776695296637
4312792,3346909,12,102,67,0.145158930187465
4312792,3587998,11,80,67,0.150248550294742
4312792,3812718,8,87,67,0.104783514134851
4312792,4118422,6,74,67,0.0852114565983894
4382861,3587998,6,80,28,0.126773138209277
4409281,3224772,9,10,75,0.3286335345031
4431083,4430849,6,52,12,0.240192230707631
4544429,3587998,6,80,87,0.0719194952228076
4544429,3698862,6,53,87,0.0883595894410668
4544429,4118422,7,74,87,0.087241385449781
4606600,4605341,6,94,38,0.100391172211538
4834119,3998319,6,112,35,0.095831484749991
4850876,3587998,7,80,260,0.0485362671697075
4850876,3717160,9,63,260,0.0703210846407743
4850876,3717887,12,32,260,0.131558702896054
4850876,3812718,6,87,260,0.0398937581125108
4850876,3998319,7,112,260,0.0410206327071184
4850876,4048368,6,20,260,0.0832050294337844
4850876,4312792,6,67,260,0.0454597638169362
4850876,4543040,28,49,260,0.248069469178417
4850876,4544429,7,87,260,0.0465427177979293
4850876,4605341,7,94,260,0.044776221185283
4867348,4533568,6,27,22,0.246182981958665
4969360,4051501,6,19,14,0.367883603690979
5001310,3843813,6,21,9,0.436435780471985
5061840,4850876,10,260,54,0.0843949472569722
5119516,5119515,7,54,35,0.161015297179883
5227468,3346909,7,102,47,0.101099504056568
5227468,3998319,14,112,47,0.19296124624699
5235496,3346909,6,102,26,0.116510345607093
5243115,4850876,8,260,15,0.12810252304407
5254609,3346909,6,102,23,0.1238760208523
5427876,4827600,7,19,36,0.267651689515655
5609495,4205411,6,13,25,0.332820117735137
5631710,3587998,8,80,37,0.147042924418762
5631710,4312792,7,67,37,0.140591730522843
5631710,4430849,7,52,37,0.159586263405644
5735820,4850876,7,260,12,0.125320102956901
5795429,4850876,21,260,162,0.10232343558582
5891080,3346909,8,102,24,0.161690416690889
5894672,5894658,11,38,21,0.389395778972634
5897512,5894658,6,38,15,0.251312344975017
6084569,3829220,14,29,37,0.427393757610865
6087949,3239695,6,18,66,0.174077655955698
6087949,4430849,12,52,66,0.204836622599676
6088621,3998319,16,112,47,0.220527138567989
6088621,4579780,6,16,47,0.218797487246842
6088621,6087949,7,66,47,0.125683174996145
6110135,6087949,7,66,8,0.304635897922471
6207824,3346909,14,102,77,0.157972898688802
6207824,3587998,9,80,77,0.114670618073466
6207824,3782363,10,72,77,0.134303827337563
6207824,3812718,7,87,77,0.0855249937498031
6207824,4312792,8,67,77,0.111380002436786
6207824,4430849,6,52,77,0.0948209311861521
6207824,5254609,9,23,77,0.213861805434791
6207824,5631710,8,37,77,0.149880026901594
6212200,4850876,6,260,8,0.131558702896054
6272405,4850876,9,260,18,0.131558702896054
6272854,3346909,6,102,67,0.0725794650937327
6272854,3998319,8,112,67,0.092351419307922
6272854,4376266,7,11,67,0.257848314039315
6272854,5227468,10,47,67,0.17820244962335
